Program,Publisher
"3-Pack (Datesones of Ryn, Morloc's Tower, Rescue at Rigel)",Automated Simulations
A2-PB1 Pinball: Night Mission,SubLogic
ABM,MUSE
Accounting Plus,Systems Plus
Adventure,Microsoft
Adventure 10: Savage Island,Adventure International
Akalabeth,California Pacific
Alien Rain (Apple Galaxian),Broderbund Software
Alien Typhoon,Broderbund Software
Apple Adventure,Apple Computer
Apple Logo,Apple Computer
Apple Mechanic,Beagle Brothers
Apple Mechanic Typefaces,Beagle Brothers
Apple Panic,Broderbund Software
Apple Pascal,Apple Computer
Apple PIE,Programma
Apple Plot,Apple Computer
Apple Speller,Sensible Software
Apple Writer,Apple Computer
Apple Writer II,Apple Computer
Apple Writer IIe,Apple Computer
Apple-Doc,Southwestern Data Systems
AppleWorks,Apple Computer
AppleWriter II Pre-Boot Disk,Videx
Arcademic Skill Builders in Math,DLM
ASCII Express: The Professional,Southwestern Data Systems
Asteroid Field,Cavalier Software
Asteroids in Space,Quality Software
Autobahn,Sirius Software
Aztec,DataMost
B-1 Nuclear Bomber,Avalon Hill
Bag of Tricks,Quality Software
Bandits,Sirius Software
Bank Street Speller,Broderbund Software
Bank Street Writer,Broderbund Software
Barron's SAT,Barron's
Beagle Basic,Beagle Brothers
Beer Run,Sirius Software
Beyond Castle Wolfenstein,MUSE
Bill Budge's 3-D Graphics Package,California Pacific
Bill Budge's Space Album,California Pacific
Bill Budge's Trilogy,California Pacific
BPI Accounts Receivable,Apple Computer
BPI General Ledger,Apple Computer
Bug Attack,Cavalier Software
Cannonball Blitz,On-Line Systems
Canyon Climber,DataSoft
Castle Wolfenstein,MUSE
CCA Data Management System,Personal Software
Choplifter,Broderbund Software
Computer Ambush,Strategic Simulations
Computer Baseball,Strategic Simulations
Computer Bismarck,Strategic Simulations
Computer Quarterback,Strategic Simulations
Computer SAT,Harcourt Brace Jovanovich
Copy II Plus,Central Point Software
Cosmos Mission,Astar International
Creature Venture,Highlands Computer Services
Crisis Moutain,Synergistic Software
Crossfire,On-Line Systems
Cyber Strike,Sirius Software
Dark Crystal,Sierra On-Line
Data Capture 4.0,Southeastern Software
Data Factory,Microlab
Datestones of Ryn,Automated Simulations
David's Midnight Magic,Broderbund Software
DB Master,Stoneware
dBase II,Ashton-Tate
Deadline,Infocom
Death in the Caribbean,Micro Fun
DiskQuik,Beagle Brothers
Dogfight,Microlab
Dollars and Sense,Monogram
DOS 3.3,Apple Computer
DOS Boss,Beagle Brothers
DOS Tool Kit,Apple Computer
Double-Take,Beagle Brothers
Dragon Fire,Level 10 Software
Early Games for Young Children,Early Game Company
Easy Writer,Information Unlimited
Enchanter,Infocom
Epoch,Sirius Software
Ernie's Quiz,Apple Computer
Escape from Rungistan,Sirius Software
Exodus: Ultima III,Origin Systems
Expediter II,On-Line Systems
Facemaker,Spinnaker Software
Falcons,Picadilly Software
FlashCalc,VisiCorp
Flight Simulator,SubLogic
Flight Simulator II,SubLogic
Frogger,Sierra On-Line
Galactic Empire,Broderbund Software
Galactic Revolution,Broderbund Software
Galactic Trader,Broderbund Software
Gamma Goblins,Sirius Software
Gammon Gambler,Personal Software
General Ledger,State of the Art Inc.
Ghost Town: Adventure #9,Adventure International
Global Program Line Editor,Beagle Brothers
Gobbler,On-Line Systems
Gorgon,Sirius Software
Graphics Magician,Penguin Software
Graphtrix,Data Transforms
Hard Hat Mack,Electronic Arts
Head On,California Pacific
Hellfire Warrior,Automated Simulations
Hi-Res Adventure #0: Mission: Asteroid,On-Line Systems
Hi-Res Adventure #1: Mystery House,On-Line Systems
Hi-Res Adventure #2: The Wizard and the Princess,On-Line Systems
Hi-Res Adventure #3: Cranston Manor,On-Line Systems
Hi-Res Adventure #4: Ulysses and the Golden Fleece,On-Line Systems
Hi-Res Cribbage,On-Line Systems
Hi-Res Football,On-Line Systems
Home Accountant,Continental Software
Home Money Minder,Continental Software
HomeWord,Sierra On-Line
Horizon V,Gebelli Software
In Search of the Most Amazing Thing,Spinnaker Software
Jawbreaker,On-Line Systems
Julius Erving and Larry Bird Go One-on-One,Electronic Arts
Kabul Spy,Sirius Software
Knight of Diamonds,Sir-tech
Legacy of Llylgamyn,Sir-tech
Lode Runner,Broderbund Software
Lords of Karma,Avalon Hill
Magic Window,Artsci
Magic Window II,Artsci
Marauder,On-Line Systems
MasterType,Lightning Software
Math Blaster,Davidson and Associates
Microwave,Cavalier Computer
Midway Campaign,Avalon Hill
Miner 2049er,Micro Fun
Missile Defense,On-Line Systems
Mix & Match,Apple Computer
Morloc's Tower,Automated Simulations
Multiplan,Microsoft
Music Construction Set,Electronic Arts
Odyssey,Synergistic Software
Olympic Decathlon,Microsoft
Oo Topos: An Extraterrestrial Adventure,Sentient Software
Oribitron,Sirius Software
Pegasus II,On-Line Systems
Personal Finance Manager,Apple Computer
PFS: File (Personal Filing System),Software Publishing Corporation
PFS: Graph,Software Publishing Corporation
PFS: Report,Software Publishing Corporation
PFS:Write,Software Publishing Corporation
Phantoms 5,Sirius Software
Pinball Construction Set,BudgeCo
Planet Miners,Avalon Hill
Planetoids (Asteroids),Adventure International
Pool 1.5,Innovative Design Software
Print Shop,Broderbund Software
ProDOS User's Kit,Apple Computer
Programming Aids 3.3,Dakin5
Pronto DOS,Beagle Brothers
Puckman,Broderbund Software
Pulsar II,Sirius Software
Quick File IIe,Apple Computer
Raster Blaster,BudgeCo
Rescue at Rigel,Automated Simulations
Reversal,Hayden Software
Robot War,MUSE
Rocky's Boots,The Learning Company
Sabotage,On-Line Systems
Sargon II,Hayden Software
Sargon III,Hayden Software
Scot Adams Adventures,Adventure International
Scot Adams Adventures,Creative Computing Software
Screen Writer II,On-Line Systems
Seafox,Broderbund Software
Sensible Speller,Sensible Software
Serpentine,Broderbund Software
Silicon Salad,Beagle Brothers
Snack Attack,DataMost
Sneakers,Sirius Software
Snoggle,Broderbund Software
Snooper Troops I,Spinnaker Software
Sorcerer,Infocom
Space Eggs,Sirius Software
Space Quarks,Broderbund Software
Space Raiders,United Software of America
Space Warrior,Broderbund Software
Star Blazer,Broderbund Software
Star Cruiser,Sirius Software
Star Thief,Cavalier Computing
Star Warrior,Automated Simulations
Starcross,Infocom
Stickybear ABC,Xerox Education Publications
Story Machine,Spinnaker Software
Super Disk Copy (III),Sensible Software
Super Invader,Creative Computing Software
Superscribe II,On-Line Systems
Super-Text 40-56-70,MUSE
SuperText II,MUSE
Super-Text Pro,MUSE
Suspended,Infocom
Swashbuckler,DataMost
Tax Advantage,Continental Software
Tax Preparer,Howard Software
Taxman,H.A.L. Labs
Temple of Apshai,Automated Simulations
The Arcade Machine,Broderbund Software
The Complete Graphics System,Penguin Software
The Controller,Apple Computer
The Incredible Jack,Business Solutions
The Mask of the Sun,Ultrasoft
The Prisoner,Edu-Ware Services
The Quest,Penguin Software
Threshold,On-Line Systems
Time Zone,On-Line Systems
Track Attack,Broderbund Software
Tranquility Base,Stoneware
Transcend,SSM
Transend 2,SSM
Tubeway,DataMost
Tuesday Night Football,Shoestring Software
Twerps,Sirius Software
Typing Tutor,Microsoft
Ultima,California Pacific
Ultima II,Sierra On-Line
Utility City,Beagle Brothers
VisiCalc,Personal Software
VisiCalc: Advanced Version,VisiCorp
VisiDex,Personal Software
VisiFile,Personal Software
VisiTrend/VisiPlot,Personal Software
Warp Factor,Strategic Simulations
Wilderness Campaign,Synergistic Software
Wizardry,Sir-tech
Word Handler,Silicon Valley Systems
Word Juggler IIe,Quark
WordStar,Micro Pro
Zaxxon,DataSoft
Zoom Grafix,Phoenix Software
Zork,Personal Software
Zork II,Infocom
Zork III,Infocom
