Program,Position,Index
Choplifter,1,123.61
VisiCalc,2,116.73
Home Accountant,3,99.17
PFS: File (Personal Filing System),4,95.72
Frogger,5,82.29
Wizardry,6,63.35
Screen Writer II,7,58.54
Word Handler,8,50.27
Snack Attack,9,35.12
Apple Writer II,10,34.09
Castle Wolfenstein,11,33.74
DB Master,12,32.71
The Arcade Machine,13,28.58
Canyon Climber,14,28.24
Aztec,15,25.48
The Mask of the Sun,16,24.79
Cannonball Blitz,17,24.45
Transcend,18,23.76
Knight of Diamonds,19,21.69
Zork III,20,19.63
Serpentine,21,18.94
Starcross,21,18.94
MasterType,23,18.25
Zork,23,18.25
Bag of Tricks,23,18.25
Star Blazer,26,17.56
General Ledger,26,17.56
Deadline,26,17.56
BPI General Ledger,29,16.87
Tubeway,30,16.53
